LHS (Determinante),RHS (Dipendente),Tipo
OriginAirportID + Div1AirportSeqID,DivReachedDest,2 -> 1
OriginAirportID + Div1AirportSeqID,DivDistance,2 -> 1
OriginAirportID + Div1AirportSeqID,Div1Airport,2 -> 1
OriginAirportID + Div1AirportSeqID,Div1AirportID,2 -> 1
OriginAirportID + Div1AirportSeqID,Div1WheelsOn,2 -> 1
OriginAirportID + Div1AirportSeqID,Div1TotalGTime,2 -> 1
OriginAirportID + Div1AirportSeqID,Div1LongestGTime,2 -> 1
OriginAirportID + Div1WheelsOn,DayofMonth,2 -> 1
OriginAirportID + Div1WheelsOn,DayOfWeek,2 -> 1
OriginAirportID + Div1WheelsOn,FlightDate,2 -> 1
OriginAirportID + Div1WheelsOn,Reporting_Airline,2 -> 1
OriginAirportID + Div1WheelsOn,DOT_ID_Reporting_Airline,2 -> 1
OriginAirportID + Div1WheelsOn,IATA_CODE_Reporting_Airline,2 -> 1
OriginAirportID + Div1WheelsOn,Tail_Number,2 -> 1
OriginAirportID + Div1WheelsOn,Flight_Number_Reporting_Airline,2 -> 1
OriginAirportID + Div1WheelsOn,OriginAirportSeqID,2 -> 1
OriginAirportID + Div1WheelsOn,OriginCityMarketID,2 -> 1
OriginAirportID + Div1WheelsOn,Origin,2 -> 1
OriginAirportID + Div1WheelsOn,OriginCityName,2 -> 1
OriginAirportID + Div1WheelsOn,OriginState,2 -> 1
OriginAirportID + Div1WheelsOn,OriginStateFips,2 -> 1
OriginAirportID + Div1WheelsOn,OriginStateName,2 -> 1
OriginAirportID + Div1WheelsOn,OriginWac,2 -> 1
OriginAirportID + Div1WheelsOn,DestAirportID,2 -> 1
OriginAirportID + Div1WheelsOn,DestAirportSeqID,2 -> 1
OriginAirportID + Div1WheelsOn,DestCityMarketID,2 -> 1
OriginAirportID + Div1WheelsOn,Dest,2 -> 1
OriginAirportID + Div1WheelsOn,DestCityName,2 -> 1
OriginAirportID + Div1WheelsOn,DestState,2 -> 1
OriginAirportID + Div1WheelsOn,DestStateFips,2 -> 1
OriginAirportID + Div1WheelsOn,DestStateName,2 -> 1
OriginAirportID + Div1WheelsOn,DestWac,2 -> 1
OriginAirportID + Div1WheelsOn,CRSDepTime,2 -> 1
OriginAirportID + Div1WheelsOn,DepTime,2 -> 1
OriginAirportID + Div1WheelsOn,DepDelay,2 -> 1
OriginAirportID + Div1WheelsOn,DepDelayMinutes,2 -> 1
OriginAirportID + Div1WheelsOn,DepDel15,2 -> 1
OriginAirportID + Div1WheelsOn,DepartureDelayGroups,2 -> 1
OriginAirportID + Div1WheelsOn,DepTimeBlk,2 -> 1
OriginAirportID + Div1WheelsOn,TaxiOut,2 -> 1
OriginAirportID + Div1WheelsOn,WheelsOff,2 -> 1
OriginAirportID + Div1WheelsOn,WheelsOn,2 -> 1
OriginAirportID + Div1WheelsOn,TaxiIn,2 -> 1
OriginAirportID + Div1WheelsOn,CRSArrTime,2 -> 1
OriginAirportID + Div1WheelsOn,ArrTime,2 -> 1
OriginAirportID + Div1WheelsOn,ArrTimeBlk,2 -> 1
OriginAirportID + Div1WheelsOn,Cancelled,2 -> 1
OriginAirportID + Div1WheelsOn,Diverted,2 -> 1
OriginAirportID + Div1WheelsOn,CRSElapsedTime,2 -> 1
OriginAirportID + Div1WheelsOn,Distance,2 -> 1
OriginAirportID + Div1WheelsOn,DistanceGroup,2 -> 1
OriginAirportID + Div1WheelsOn,DivAirportLandings,2 -> 1
OriginAirportID + Div1WheelsOn,DivReachedDest,2 -> 1
OriginAirportID + Div1WheelsOn,DivDistance,2 -> 1
OriginAirportID + Div1WheelsOn,Div1Airport,2 -> 1
OriginAirportID + Div1WheelsOn,Div1AirportID,2 -> 1
OriginAirportID + Div1WheelsOn,Div1AirportSeqID,2 -> 1
OriginAirportID + Div1WheelsOn,Div1TotalGTime,2 -> 1
OriginAirportID + Div1WheelsOn,Div1LongestGTime,2 -> 1
OriginAirportID + Div1TotalGTime,DayofMonth,2 -> 1
OriginAirportID + Div1TotalGTime,DayOfWeek,2 -> 1
OriginAirportID + Div1TotalGTime,FlightDate,2 -> 1
OriginAirportID + Div1TotalGTime,Reporting_Airline,2 -> 1
OriginAirportID + Div1TotalGTime,DOT_ID_Reporting_Airline,2 -> 1
OriginAirportID + Div1TotalGTime,IATA_CODE_Reporting_Airline,2 -> 1
OriginAirportID + Div1TotalGTime,Tail_Number,2 -> 1
OriginAirportID + Div1TotalGTime,Flight_Number_Reporting_Airline,2 -> 1
OriginAirportID + Div1TotalGTime,OriginAirportSeqID,2 -> 1
OriginAirportID + Div1TotalGTime,OriginCityMarketID,2 -> 1
OriginAirportID + Div1TotalGTime,Origin,2 -> 1
OriginAirportID + Div1TotalGTime,OriginCityName,2 -> 1
OriginAirportID + Div1TotalGTime,OriginState,2 -> 1
OriginAirportID + Div1TotalGTime,OriginStateFips,2 -> 1
OriginAirportID + Div1TotalGTime,OriginStateName,2 -> 1
OriginAirportID + Div1TotalGTime,OriginWac,2 -> 1
OriginAirportID + Div1TotalGTime,DestAirportID,2 -> 1
OriginAirportID + Div1TotalGTime,DestAirportSeqID,2 -> 1
OriginAirportID + Div1TotalGTime,DestCityMarketID,2 -> 1
OriginAirportID + Div1TotalGTime,Dest,2 -> 1
OriginAirportID + Div1TotalGTime,DestCityName,2 -> 1
OriginAirportID + Div1TotalGTime,DestState,2 -> 1
OriginAirportID + Div1TotalGTime,DestStateFips,2 -> 1
OriginAirportID + Div1TotalGTime,DestStateName,2 -> 1
OriginAirportID + Div1TotalGTime,DestWac,2 -> 1
OriginAirportID + Div1TotalGTime,CRSDepTime,2 -> 1
OriginAirportID + Div1TotalGTime,DepTime,2 -> 1
OriginAirportID + Div1TotalGTime,DepDelay,2 -> 1
OriginAirportID + Div1TotalGTime,DepDelayMinutes,2 -> 1
OriginAirportID + Div1TotalGTime,DepDel15,2 -> 1
OriginAirportID + Div1TotalGTime,DepartureDelayGroups,2 -> 1
OriginAirportID + Div1TotalGTime,DepTimeBlk,2 -> 1
OriginAirportID + Div1TotalGTime,TaxiOut,2 -> 1
OriginAirportID + Div1TotalGTime,WheelsOff,2 -> 1
OriginAirportID + Div1TotalGTime,WheelsOn,2 -> 1
OriginAirportID + Div1TotalGTime,TaxiIn,2 -> 1
OriginAirportID + Div1TotalGTime,CRSArrTime,2 -> 1
OriginAirportID + Div1TotalGTime,ArrTime,2 -> 1
OriginAirportID + Div1TotalGTime,ArrTimeBlk,2 -> 1
OriginAirportID + Div1TotalGTime,Cancelled,2 -> 1
OriginAirportID + Div1TotalGTime,Diverted,2 -> 1
OriginAirportID + Div1TotalGTime,CRSElapsedTime,2 -> 1
OriginAirportID + Div1TotalGTime,Distance,2 -> 1
OriginAirportID + Div1TotalGTime,DistanceGroup,2 -> 1
OriginAirportID + Div1TotalGTime,DivAirportLandings,2 -> 1
OriginAirportID + Div1TotalGTime,DivReachedDest,2 -> 1
OriginAirportID + Div1TotalGTime,DivDistance,2 -> 1
OriginAirportID + Div1TotalGTime,Div1Airport,2 -> 1
OriginAirportID + Div1TotalGTime,Div1AirportID,2 -> 1
OriginAirportID + Div1TotalGTime,Div1AirportSeqID,2 -> 1
OriginAirportID + Div1TotalGTime,Div1WheelsOn,2 -> 1
OriginAirportID + Div1TotalGTime,Div1LongestGTime,2 -> 1
OriginAirportID + Div1LongestGTime,DayofMonth,2 -> 1
OriginAirportID + Div1LongestGTime,DayOfWeek,2 -> 1
OriginAirportID + Div1LongestGTime,FlightDate,2 -> 1
OriginAirportID + Div1LongestGTime,Reporting_Airline,2 -> 1
OriginAirportID + Div1LongestGTime,DOT_ID_Reporting_Airline,2 -> 1
OriginAirportID + Div1LongestGTime,IATA_CODE_Reporting_Airline,2 -> 1
OriginAirportID + Div1LongestGTime,Tail_Number,2 -> 1
OriginAirportID + Div1LongestGTime,Flight_Number_Reporting_Airline,2 -> 1
OriginAirportID + Div1LongestGTime,OriginAirportSeqID,2 -> 1
OriginAirportID + Div1LongestGTime,OriginCityMarketID,2 -> 1
OriginAirportID + Div1LongestGTime,Origin,2 -> 1
OriginAirportID + Div1LongestGTime,OriginCityName,2 -> 1
OriginAirportID + Div1LongestGTime,OriginState,2 -> 1
OriginAirportID + Div1LongestGTime,OriginStateFips,2 -> 1
OriginAirportID + Div1LongestGTime,OriginStateName,2 -> 1
OriginAirportID + Div1LongestGTime,OriginWac,2 -> 1
OriginAirportID + Div1LongestGTime,DestAirportID,2 -> 1
OriginAirportID + Div1LongestGTime,DestAirportSeqID,2 -> 1
OriginAirportID + Div1LongestGTime,DestCityMarketID,2 -> 1
OriginAirportID + Div1LongestGTime,Dest,2 -> 1
OriginAirportID + Div1LongestGTime,DestCityName,2 -> 1
OriginAirportID + Div1LongestGTime,DestState,2 -> 1
OriginAirportID + Div1LongestGTime,DestStateFips,2 -> 1
OriginAirportID + Div1LongestGTime,DestStateName,2 -> 1
OriginAirportID + Div1LongestGTime,DestWac,2 -> 1
OriginAirportID + Div1LongestGTime,CRSDepTime,2 -> 1
OriginAirportID + Div1LongestGTime,DepTime,2 -> 1
OriginAirportID + Div1LongestGTime,DepDelay,2 -> 1
OriginAirportID + Div1LongestGTime,DepDelayMinutes,2 -> 1
OriginAirportID + Div1LongestGTime,DepDel15,2 -> 1
OriginAirportID + Div1LongestGTime,DepartureDelayGroups,2 -> 1
OriginAirportID + Div1LongestGTime,DepTimeBlk,2 -> 1
OriginAirportID + Div1LongestGTime,TaxiOut,2 -> 1
OriginAirportID + Div1LongestGTime,WheelsOff,2 -> 1
OriginAirportID + Div1LongestGTime,WheelsOn,2 -> 1
OriginAirportID + Div1LongestGTime,TaxiIn,2 -> 1
OriginAirportID + Div1LongestGTime,CRSArrTime,2 -> 1
OriginAirportID + Div1LongestGTime,ArrTime,2 -> 1
OriginAirportID + Div1LongestGTime,ArrTimeBlk,2 -> 1
OriginAirportID + Div1LongestGTime,Cancelled,2 -> 1
OriginAirportID + Div1LongestGTime,Diverted,2 -> 1
OriginAirportID + Div1LongestGTime,CRSElapsedTime,2 -> 1
OriginAirportID + Div1LongestGTime,Distance,2 -> 1
OriginAirportID + Div1LongestGTime,DistanceGroup,2 -> 1
OriginAirportID + Div1LongestGTime,DivAirportLandings,2 -> 1
OriginAirportID + Div1LongestGTime,DivReachedDest,2 -> 1
OriginAirportID + Div1LongestGTime,DivDistance,2 -> 1
OriginAirportID + Div1LongestGTime,Div1Airport,2 -> 1
OriginAirportID + Div1LongestGTime,Div1AirportID,2 -> 1
OriginAirportID + Div1LongestGTime,Div1AirportSeqID,2 -> 1
OriginAirportID + Div1LongestGTime,Div1WheelsOn,2 -> 1
OriginAirportID + Div1LongestGTime,Div1TotalGTime,2 -> 1
OriginAirportSeqID + OriginCityMarketID,OriginAirportID,2 -> 1
OriginAirportSeqID + OriginCityMarketID,Origin,2 -> 1
OriginAirportSeqID + OriginCityMarketID,OriginCityName,2 -> 1
OriginAirportSeqID + OriginCityMarketID,OriginState,2 -> 1
OriginAirportSeqID + OriginCityMarketID,OriginStateFips,2 -> 1
OriginAirportSeqID + OriginCityMarketID,OriginStateName,2 -> 1
OriginAirportSeqID + OriginCityMarketID,OriginWac,2 -> 1
OriginAirportSeqID + OriginCityMarketID,FirstDepTime,2 -> 1
OriginAirportSeqID + OriginCityMarketID,TotalAddGTime,2 -> 1
OriginAirportSeqID + OriginCityMarketID,LongestAddGTime,2 -> 1
OriginAirportSeqID + Origin,OriginAirportID,2 -> 1
OriginAirportSeqID + Origin,OriginCityMarketID,2 -> 1
OriginAirportSeqID + Origin,OriginCityName,2 -> 1
OriginAirportSeqID + Origin,OriginState,2 -> 1
OriginAirportSeqID + Origin,OriginStateFips,2 -> 1
OriginAirportSeqID + Origin,OriginStateName,2 -> 1
OriginAirportSeqID + Origin,OriginWac,2 -> 1
OriginAirportSeqID + Origin,FirstDepTime,2 -> 1
OriginAirportSeqID + Origin,TotalAddGTime,2 -> 1
OriginAirportSeqID + Origin,LongestAddGTime,2 -> 1
OriginAirportSeqID + OriginCityName,OriginAirportID,2 -> 1
OriginAirportSeqID + OriginCityName,OriginCityMarketID,2 -> 1
OriginAirportSeqID + OriginCityName,Origin,2 -> 1
OriginAirportSeqID + OriginCityName,OriginState,2 -> 1
OriginAirportSeqID + OriginCityName,OriginStateFips,2 -> 1
OriginAirportSeqID + OriginCityName,OriginStateName,2 -> 1
OriginAirportSeqID + OriginCityName,OriginWac,2 -> 1
OriginAirportSeqID + OriginCityName,FirstDepTime,2 -> 1
OriginAirportSeqID + OriginCityName,TotalAddGTime,2 -> 1
OriginAirportSeqID + OriginCityName,LongestAddGTime,2 -> 1
OriginAirportSeqID + OriginState,OriginAirportID,2 -> 1
OriginAirportSeqID + OriginState,OriginCityMarketID,2 -> 1
OriginAirportSeqID + OriginState,Origin,2 -> 1
OriginAirportSeqID + OriginState,OriginCityName,2 -> 1
OriginAirportSeqID + OriginState,OriginStateFips,2 -> 1
OriginAirportSeqID + OriginState,OriginStateName,2 -> 1
OriginAirportSeqID + OriginState,OriginWac,2 -> 1
OriginAirportSeqID + OriginState,FirstDepTime,2 -> 1
OriginAirportSeqID + OriginState,TotalAddGTime,2 -> 1
OriginAirportSeqID + OriginState,LongestAddGTime,2 -> 1
OriginAirportSeqID + OriginStateFips,OriginAirportID,2 -> 1
OriginAirportSeqID + OriginStateFips,OriginCityMarketID,2 -> 1
OriginAirportSeqID + OriginStateFips,Origin,2 -> 1
OriginAirportSeqID + OriginStateFips,OriginCityName,2 -> 1
OriginAirportSeqID + OriginStateFips,OriginState,2 -> 1
OriginAirportSeqID + OriginStateFips,OriginStateName,2 -> 1
OriginAirportSeqID + OriginStateFips,OriginWac,2 -> 1
OriginAirportSeqID + OriginStateFips,FirstDepTime,2 -> 1
OriginAirportSeqID + OriginStateFips,TotalAddGTime,2 -> 1
OriginAirportSeqID + OriginStateFips,LongestAddGTime,2 -> 1
OriginAirportSeqID + OriginStateName,OriginAirportID,2 -> 1
OriginAirportSeqID + OriginStateName,OriginCityMarketID,2 -> 1
OriginAirportSeqID + OriginStateName,Origin,2 -> 1
OriginAirportSeqID + OriginStateName,OriginCityName,2 -> 1
OriginAirportSeqID + OriginStateName,OriginState,2 -> 1
OriginAirportSeqID + OriginStateName,OriginStateFips,2 -> 1
OriginAirportSeqID + OriginStateName,OriginWac,2 -> 1
OriginAirportSeqID + OriginStateName,FirstDepTime,2 -> 1
OriginAirportSeqID + OriginStateName,TotalAddGTime,2 -> 1
OriginAirportSeqID + OriginStateName,LongestAddGTime,2 -> 1
OriginAirportSeqID + OriginWac,OriginAirportID,2 -> 1
OriginAirportSeqID + OriginWac,OriginCityMarketID,2 -> 1
OriginAirportSeqID + OriginWac,Origin,2 -> 1
OriginAirportSeqID + OriginWac,OriginCityName,2 -> 1
OriginAirportSeqID + OriginWac,OriginState,2 -> 1
OriginAirportSeqID + OriginWac,OriginStateFips,2 -> 1
OriginAirportSeqID + OriginWac,OriginStateName,2 -> 1
OriginAirportSeqID + OriginWac,FirstDepTime,2 -> 1
OriginAirportSeqID + OriginWac,TotalAddGTime,2 -> 1
OriginAirportSeqID + OriginWac,LongestAddGTime,2 -> 1
OriginAirportSeqID + DestAirportID,OriginAirportID,2 -> 1
OriginAirportSeqID + DestAirportID,OriginCityMarketID,2 -> 1
OriginAirportSeqID + DestAirportID,Origin,2 -> 1
OriginAirportSeqID + DestAirportID,OriginCityName,2 -> 1
OriginAirportSeqID + DestAirportID,OriginState,2 -> 1
OriginAirportSeqID + DestAirportID,OriginStateFips,2 -> 1
OriginAirportSeqID + DestAirportID,OriginStateName,2 -> 1
OriginAirportSeqID + DestAirportID,OriginWac,2 -> 1
OriginAirportSeqID + DestAirportID,DestAirportSeqID,2 -> 1
OriginAirportSeqID + DestAirportID,DestCityMarketID,2 -> 1
OriginAirportSeqID + DestAirportID,Dest,2 -> 1
OriginAirportSeqID + DestAirportID,DestCityName,2 -> 1
OriginAirportSeqID + DestAirportID,DestState,2 -> 1
OriginAirportSeqID + DestAirportID,DestStateFips,2 -> 1
OriginAirportSeqID + DestAirportID,DestStateName,2 -> 1
OriginAirportSeqID + DestAirportID,DestWac,2 -> 1
OriginAirportSeqID + DestAirportID,CancellationCode,2 -> 1
OriginAirportSeqID + DestAirportID,Distance,2 -> 1
OriginAirportSeqID + DestAirportID,DistanceGroup,2 -> 1
OriginAirportSeqID + DestAirportID,WeatherDelay,2 -> 1
OriginAirportSeqID + DestAirportID,FirstDepTime,2 -> 1
OriginAirportSeqID + DestAirportID,TotalAddGTime,2 -> 1
OriginAirportSeqID + DestAirportID,LongestAddGTime,2 -> 1
OriginAirportSeqID + DestAirportID,DivReachedDest,2 -> 1
OriginAirportSeqID + DestAirportID,DivDistance,2 -> 1
OriginAirportSeqID + DestAirportID,Div1Airport,2 -> 1
OriginAirportSeqID + DestAirportID,Div1AirportID,2 -> 1
OriginAirportSeqID + DestAirportID,Div1AirportSeqID,2 -> 1
OriginAirportSeqID + DestAirportID,Div1WheelsOn,2 -> 1
OriginAirportSeqID + DestAirportID,Div1TotalGTime,2 -> 1
OriginAirportSeqID + DestAirportID,Div1LongestGTime,2 -> 1
OriginAirportSeqID + DestAirportSeqID,OriginAirportID,2 -> 1
OriginAirportSeqID + DestAirportSeqID,OriginCityMarketID,2 -> 1
OriginAirportSeqID + DestAirportSeqID,Origin,2 -> 1
OriginAirportSeqID + DestAirportSeqID,OriginCityName,2 -> 1
OriginAirportSeqID + DestAirportSeqID,OriginState,2 -> 1
OriginAirportSeqID + DestAirportSeqID,OriginStateFips,2 -> 1
OriginAirportSeqID + DestAirportSeqID,OriginStateName,2 -> 1
OriginAirportSeqID + DestAirportSeqID,OriginWac,2 -> 1
OriginAirportSeqID + DestAirportSeqID,DestAirportID,2 -> 1
OriginAirportSeqID + DestAirportSeqID,DestCityMarketID,2 -> 1
OriginAirportSeqID + DestAirportSeqID,Dest,2 -> 1
OriginAirportSeqID + DestAirportSeqID,DestCityName,2 -> 1
OriginAirportSeqID + DestAirportSeqID,DestState,2 -> 1
OriginAirportSeqID + DestAirportSeqID,DestStateFips,2 -> 1
OriginAirportSeqID + DestAirportSeqID,DestStateName,2 -> 1
OriginAirportSeqID + DestAirportSeqID,DestWac,2 -> 1
OriginAirportSeqID + DestAirportSeqID,CancellationCode,2 -> 1
OriginAirportSeqID + DestAirportSeqID,Distance,2 -> 1
OriginAirportSeqID + DestAirportSeqID,DistanceGroup,2 -> 1
OriginAirportSeqID + DestAirportSeqID,WeatherDelay,2 -> 1
OriginAirportSeqID + DestAirportSeqID,FirstDepTime,2 -> 1
OriginAirportSeqID + DestAirportSeqID,TotalAddGTime,2 -> 1
OriginAirportSeqID + DestAirportSeqID,LongestAddGTime,2 -> 1
OriginAirportSeqID + DestAirportSeqID,DivReachedDest,2 -> 1
OriginAirportSeqID + DestAirportSeqID,DivDistance,2 -> 1
OriginAirportSeqID + DestAirportSeqID,Div1Airport,2 -> 1
OriginAirportSeqID + DestAirportSeqID,Div1AirportID,2 -> 1
OriginAirportSeqID + DestAirportSeqID,Div1AirportSeqID,2 -> 1
OriginAirportSeqID + DestAirportSeqID,Div1WheelsOn,2 -> 1
OriginAirportSeqID + DestAirportSeqID,Div1TotalGTime,2 -> 1
OriginAirportSeqID + DestAirportSeqID,Div1LongestGTime,2 -> 1
OriginAirportSeqID + DestCityMarketID,OriginAirportID,2 -> 1
OriginAirportSeqID + DestCityMarketID,OriginCityMarketID,2 -> 1
OriginAirportSeqID + DestCityMarketID,Origin,2 -> 1
OriginAirportSeqID + DestCityMarketID,OriginCityName,2 -> 1
OriginAirportSeqID + DestCityMarketID,OriginState,2 -> 1
OriginAirportSeqID + DestCityMarketID,OriginStateFips,2 -> 1
OriginAirportSeqID + DestCityMarketID,OriginStateName,2 -> 1
OriginAirportSeqID + DestCityMarketID,OriginWac,2 -> 1
OriginAirportSeqID + DestCityMarketID,WeatherDelay,2 -> 1
OriginAirportSeqID + DestCityMarketID,FirstDepTime,2 -> 1
OriginAirportSeqID + DestCityMarketID,TotalAddGTime,2 -> 1
OriginAirportSeqID + DestCityMarketID,LongestAddGTime,2 -> 1
OriginAirportSeqID + DestCityMarketID,DivReachedDest,2 -> 1
OriginAirportSeqID + DestCityMarketID,DivDistance,2 -> 1
OriginAirportSeqID + DestCityMarketID,Div1Airport,2 -> 1
OriginAirportSeqID + DestCityMarketID,Div1AirportID,2 -> 1
OriginAirportSeqID + DestCityMarketID,Div1AirportSeqID,2 -> 1
OriginAirportSeqID + DestCityMarketID,Div1WheelsOn,2 -> 1
OriginAirportSeqID + DestCityMarketID,Div1TotalGTime,2 -> 1
OriginAirportSeqID + DestCityMarketID,Div1LongestGTime,2 -> 1
OriginAirportSeqID + Dest,OriginAirportID,2 -> 1
OriginAirportSeqID + Dest,OriginCityMarketID,2 -> 1
OriginAirportSeqID + Dest,Origin,2 -> 1
OriginAirportSeqID + Dest,OriginCityName,2 -> 1
OriginAirportSeqID + Dest,OriginState,2 -> 1
OriginAirportSeqID + Dest,OriginStateFips,2 -> 1
OriginAirportSeqID + Dest,OriginStateName,2 -> 1
OriginAirportSeqID + Dest,OriginWac,2 -> 1
OriginAirportSeqID + Dest,DestAirportID,2 -> 1
OriginAirportSeqID + Dest,DestAirportSeqID,2 -> 1
OriginAirportSeqID + Dest,DestCityMarketID,2 -> 1
OriginAirportSeqID + Dest,DestCityName,2 -> 1
OriginAirportSeqID + Dest,DestState,2 -> 1
OriginAirportSeqID + Dest,DestStateFips,2 -> 1
OriginAirportSeqID + Dest,DestStateName,2 -> 1
OriginAirportSeqID + Dest,DestWac,2 -> 1
OriginAirportSeqID + Dest,CancellationCode,2 -> 1
OriginAirportSeqID + Dest,Distance,2 -> 1
OriginAirportSeqID + Dest,DistanceGroup,2 -> 1
OriginAirportSeqID + Dest,WeatherDelay,2 -> 1
OriginAirportSeqID + Dest,FirstDepTime,2 -> 1
OriginAirportSeqID + Dest,TotalAddGTime,2 -> 1
OriginAirportSeqID + Dest,LongestAddGTime,2 -> 1
OriginAirportSeqID + Dest,DivReachedDest,2 -> 1
OriginAirportSeqID + Dest,DivDistance,2 -> 1
OriginAirportSeqID + Dest,Div1Airport,2 -> 1
OriginAirportSeqID + Dest,Div1AirportID,2 -> 1
OriginAirportSeqID + Dest,Div1AirportSeqID,2 -> 1
OriginAirportSeqID + Dest,Div1WheelsOn,2 -> 1
OriginAirportSeqID + Dest,Div1TotalGTime,2 -> 1
OriginAirportSeqID + Dest,Div1LongestGTime,2 -> 1
OriginAirportSeqID + DestCityName,OriginAirportID,2 -> 1
OriginAirportSeqID + DestCityName,OriginCityMarketID,2 -> 1
OriginAirportSeqID + DestCityName,Origin,2 -> 1
OriginAirportSeqID + DestCityName,OriginCityName,2 -> 1
OriginAirportSeqID + DestCityName,OriginState,2 -> 1
OriginAirportSeqID + DestCityName,OriginStateFips,2 -> 1
OriginAirportSeqID + DestCityName,OriginStateName,2 -> 1
OriginAirportSeqID + DestCityName,OriginWac,2 -> 1
OriginAirportSeqID + DestCityName,DestCityMarketID,2 -> 1
OriginAirportSeqID + DestCityName,DestState,2 -> 1
OriginAirportSeqID + DestCityName,DestStateFips,2 -> 1
OriginAirportSeqID + DestCityName,DestStateName,2 -> 1
OriginAirportSeqID + DestCityName,DestWac,2 -> 1
OriginAirportSeqID + DestCityName,CancellationCode,2 -> 1
OriginAirportSeqID + DestCityName,WeatherDelay,2 -> 1
OriginAirportSeqID + DestCityName,FirstDepTime,2 -> 1
OriginAirportSeqID + DestCityName,TotalAddGTime,2 -> 1
OriginAirportSeqID + DestCityName,LongestAddGTime,2 -> 1
OriginAirportSeqID + DestCityName,DivReachedDest,2 -> 1
OriginAirportSeqID + DestCityName,DivDistance,2 -> 1
OriginAirportSeqID + DestCityName,Div1Airport,2 -> 1
OriginAirportSeqID + DestCityName,Div1AirportID,2 -> 1
OriginAirportSeqID + DestCityName,Div1AirportSeqID,2 -> 1
OriginAirportSeqID + DestCityName,Div1WheelsOn,2 -> 1
OriginAirportSeqID + DestCityName,Div1TotalGTime,2 -> 1
OriginAirportSeqID + DestCityName,Div1LongestGTime,2 -> 1
OriginAirportSeqID + DestState,OriginAirportID,2 -> 1
OriginAirportSeqID + DestState,OriginCityMarketID,2 -> 1
OriginAirportSeqID + DestState,Origin,2 -> 1
OriginAirportSeqID + DestState,OriginCityName,2 -> 1
OriginAirportSeqID + DestState,OriginState,2 -> 1
OriginAirportSeqID + DestState,OriginStateFips,2 -> 1
OriginAirportSeqID + DestState,OriginStateName,2 -> 1
OriginAirportSeqID + DestState,OriginWac,2 -> 1
OriginAirportSeqID + DestState,DestStateFips,2 -> 1
OriginAirportSeqID + DestState,DestStateName,2 -> 1
OriginAirportSeqID + DestState,DestWac,2 -> 1
OriginAirportSeqID + DestState,CancellationCode,2 -> 1
OriginAirportSeqID + DestState,FirstDepTime,2 -> 1
OriginAirportSeqID + DestState,TotalAddGTime,2 -> 1
OriginAirportSeqID + DestState,LongestAddGTime,2 -> 1
OriginAirportSeqID + DestState,DivReachedDest,2 -> 1
OriginAirportSeqID + DestState,DivDistance,2 -> 1
OriginAirportSeqID + DestState,Div1Airport,2 -> 1
OriginAirportSeqID + DestState,Div1AirportID,2 -> 1
OriginAirportSeqID + DestState,Div1AirportSeqID,2 -> 1
OriginAirportSeqID + DestState,Div1WheelsOn,2 -> 1
OriginAirportSeqID + DestState,Div1TotalGTime,2 -> 1
OriginAirportSeqID + DestState,Div1LongestGTime,2 -> 1
OriginAirportSeqID + DestStateFips,OriginAirportID,2 -> 1
OriginAirportSeqID + DestStateFips,OriginCityMarketID,2 -> 1
OriginAirportSeqID + DestStateFips,Origin,2 -> 1
OriginAirportSeqID + DestStateFips,OriginCityName,2 -> 1
OriginAirportSeqID + DestStateFips,OriginState,2 -> 1
OriginAirportSeqID + DestStateFips,OriginStateFips,2 -> 1
OriginAirportSeqID + DestStateFips,OriginStateName,2 -> 1
OriginAirportSeqID + DestStateFips,OriginWac,2 -> 1
OriginAirportSeqID + DestStateFips,DestState,2 -> 1
OriginAirportSeqID + DestStateFips,DestStateName,2 -> 1
OriginAirportSeqID + DestStateFips,DestWac,2 -> 1
OriginAirportSeqID + DestStateFips,CancellationCode,2 -> 1
OriginAirportSeqID + DestStateFips,FirstDepTime,2 -> 1
OriginAirportSeqID + DestStateFips,TotalAddGTime,2 -> 1
OriginAirportSeqID + DestStateFips,LongestAddGTime,2 -> 1
OriginAirportSeqID + DestStateFips,DivReachedDest,2 -> 1
OriginAirportSeqID + DestStateFips,DivDistance,2 -> 1
OriginAirportSeqID + DestStateFips,Div1Airport,2 -> 1
OriginAirportSeqID + DestStateFips,Div1AirportID,2 -> 1
OriginAirportSeqID + DestStateFips,Div1AirportSeqID,2 -> 1
OriginAirportSeqID + DestStateFips,Div1WheelsOn,2 -> 1
OriginAirportSeqID + DestStateFips,Div1TotalGTime,2 -> 1
OriginAirportSeqID + DestStateFips,Div1LongestGTime,2 -> 1
OriginAirportSeqID + DestStateName,OriginAirportID,2 -> 1
OriginAirportSeqID + DestStateName,OriginCityMarketID,2 -> 1
OriginAirportSeqID + DestStateName,Origin,2 -> 1
OriginAirportSeqID + DestStateName,OriginCityName,2 -> 1
OriginAirportSeqID + DestStateName,OriginState,2 -> 1
OriginAirportSeqID + DestStateName,OriginStateFips,2 -> 1
OriginAirportSeqID + DestStateName,OriginStateName,2 -> 1
OriginAirportSeqID + DestStateName,OriginWac,2 -> 1
OriginAirportSeqID + DestStateName,DestState,2 -> 1
OriginAirportSeqID + DestStateName,DestStateFips,2 -> 1
OriginAirportSeqID + DestStateName,DestWac,2 -> 1
OriginAirportSeqID + DestStateName,CancellationCode,2 -> 1
